,iqr-Outlier,iqr-Prob,ifor-Score,ifor-Outlier,ifor-Prob,lof-Score,lof-Outlier,lof-Prob,ocsvm-Score,ocsvm-Outlier,svm-Prob,outlier,actual Outlier
9780,1,Likely an Outlier,0.12247564624479362,1,Likely an Outlier,0.9748070282360487,1,Likely no Outlier,9.97156332284244,1,Likely an Outlier,1, an Outlier
9779,1,Likely an Outlier,0.08951682358653495,1,Maybe Outlier,1.255823552355887,1,Likely an Outlier,9.971610038443147,1,Likely an Outlier,1, an Outlier
9778,1,Likely an Outlier,0.08936531225581124,1,Maybe Outlier,0.9640559811999099,1,Likely no Outlier,9.971659314654529,1,Likely an Outlier,1, an Outlier
9777,1,Likely an Outlier,0.10471099571504255,1,Likely an Outlier,0.9546908367123084,1,Likely no Outlier,9.971708568579281,1,Likely an Outlier,1, an Outlier
9776,1,Likely an Outlier,0.12075935286682243,1,Likely an Outlier,0.9962662423770163,1,Likely no Outlier,9.971755673141015,1,Likely an Outlier,1, an Outlier
9775,1,Likely an Outlier,0.1124197798748881,1,Likely an Outlier,1.1409294162381725,1,Maybe Outlier,9.97180448661023,1,Likely an Outlier,1, an Outlier
9774,1,Likely an Outlier,0.12431298362154691,1,Likely an Outlier,0.9853645925028772,1,Likely no Outlier,9.971851639521441,1,Likely an Outlier,1, an Outlier
9773,1,Likely an Outlier,0.10676051554549387,1,Likely an Outlier,1.0367342048383952,1,Maybe Outlier,9.971896691591171,1,Likely an Outlier,1, an Outlier
9772,1,Likely an Outlier,0.11663529849168308,1,Likely an Outlier,1.014497330785034,1,Maybe Outlier,9.971947124505345,1,Likely an Outlier,1, an Outlier
9771,1,Likely an Outlier,0.12191613654388817,1,Likely an Outlier,1.0882608943999692,1,Maybe Outlier,9.971994805799358,1,Likely an Outlier,1, an Outlier
9770,1,Likely an Outlier,0.0841880201153728,1,Maybe Outlier,1.1472128250026954,1,Maybe Outlier,9.972039461753875,1,Likely an Outlier,1, an Outlier
9769,1,Likely an Outlier,0.10928586013883279,1,Likely an Outlier,0.9306309105118455,1,Likely no Outlier,9.972088486198391,1,Likely an Outlier,1, an Outlier
9768,1,Likely an Outlier,0.06015506268630222,1,Maybe Outlier,1.0512856993647193,1,Maybe Outlier,9.972129572763885,1,Likely an Outlier,1, an Outlier
9767,1,Likely an Outlier,0.10059267949222017,1,Likely an Outlier,1.0761505122458477,1,Maybe Outlier,9.97218065026029,1,Likely an Outlier,1, an Outlier
9766,1,Likely an Outlier,0.04570902629831641,1,Maybe Outlier,1.5053938757400396,1,Likely an Outlier,9.97220530923825,1,Likely an Outlier,1, an Outlier
9765,-1,Likely no Outlier,-0.04391203340317029,-1,Maybe Outlier,1.3856463741922365,-1,Likely an Outlier,9.97219267038108,1,Likely an Outlier,-1, no Outlier
9764,1,Likely an Outlier,0.08633064709912053,1,Maybe Outlier,1.0611991421045937,1,Maybe Outlier,9.972317999786759,1,Likely an Outlier,1, an Outlier
9763,1,Likely an Outlier,0.10028182568346478,1,Likely an Outlier,1.0611991421045937,1,Maybe Outlier,9.97236216320883,1,Likely an Outlier,1, an Outlier
9762,1,Likely an Outlier,0.1125867193706071,1,Likely an Outlier,1.434663365053332,-1,Likely an Outlier,9.972411125955011,1,Likely an Outlier,1, an Outlier
9761,1,Likely an Outlier,3.457539326556791e-05,1,Maybe Outlier,1.640874592781906,-1,Likely an Outlier,9.97244666152547,1,Likely an Outlier,-1, no Outlier
9760,-1,Likely no Outlier,-0.02817110056937744,-1,Maybe Outlier,1.291689186147585,1,Likely an Outlier,9.972440557810806,1,Likely an Outlier,-1, no Outlier
9759,1,Likely an Outlier,-0.03537364367196316,-1,Maybe Outlier,1.434291266377689,-1,Likely an Outlier,9.972531714197858,1,Likely an Outlier,-1, no Outlier
9758,1,Likely an Outlier,0.11276887349910614,1,Likely an Outlier,1.3982261007499666,-1,Likely an Outlier,9.972590298946882,1,Likely an Outlier,1, an Outlier
9757,-1,Likely no Outlier,-0.02856051419274752,-1,Maybe Outlier,1.2156762979051412,1,Likely an Outlier,9.972595505992183,1,Likely an Outlier,-1, no Outlier
9756,1,Likely an Outlier,0.08249639489691629,1,Maybe Outlier,1.0121753628903152,1,Maybe Outlier,9.972677869701137,1,Likely an Outlier,1, an Outlier
9755,1,Likely an Outlier,0.11740595791461311,1,Likely an Outlier,0.9704090093491013,1,Likely no Outlier,9.972725835407113,1,Likely an Outlier,1, an Outlier
9754,1,Likely an Outlier,0.1016073749538256,1,Likely an Outlier,1.044123823225029,1,Maybe Outlier,9.97276928264132,1,Likely an Outlier,1, an Outlier
9753,1,Likely an Outlier,0.09566952228728526,1,Maybe Outlier,1.0299064527152244,1,Maybe Outlier,9.972812955964203,1,Likely an Outlier,1, an Outlier
9752,1,Likely an Outlier,0.07645356967030126,1,Maybe Outlier,0.9704090093491013,1,Likely no Outlier,9.972854930496295,1,Likely an Outlier,1, an Outlier
9751,1,Likely an Outlier,0.1071594673529821,1,Likely an Outlier,0.9655053893071536,1,Likely no Outlier,9.972901777534434,1,Likely an Outlier,1, an Outlier
9750,1,Likely an Outlier,0.11587597726012089,1,Likely an Outlier,0.9589182252111812,1,Likely no Outlier,9.972945657120126,1,Likely an Outlier,1, an Outlier
9749,1,Likely an Outlier,0.07079718665106105,1,Maybe Outlier,1.703735484696864,-1,Likely an Outlier,9.972973373372804,1,Likely an Outlier,1, an Outlier
9748,1,Likely an Outlier,0.0794903310068592,1,Maybe Outlier,1.065192320220825,1,Maybe Outlier,9.973027992869913,1,Likely an Outlier,1, an Outlier
9747,1,Likely an Outlier,0.12066321814435421,1,Likely an Outlier,1.0277106596002283,1,Maybe Outlier,9.973074945832286,1,Likely an Outlier,1, an Outlier
9746,1,Likely an Outlier,0.1156801239398354,1,Likely an Outlier,1.0405113971460405,1,Maybe Outlier,9.973117638224718,1,Likely an Outlier,1, an Outlier
9745,1,Likely an Outlier,0.09697342126922653,1,Maybe Outlier,1.0030594570990812,1,Maybe Outlier,9.973160167962318,1,Likely an Outlier,1, an Outlier
